Way ID,Node ID,Latitude,Longitude
28524247,4177193223,59.6460756,17.9518156
28524247,10018740330,59.6460943,17.9517926
28524247,4177193228,59.647204,17.9504275
416081714,266153078,59.6574805,17.9543861
416081714,266153051,59.656419,17.954912
416081725,4169338544,59.6588656,17.9608727
416081725,9707112191,59.659186,17.9635304
416081725,9707112188,59.6592373,17.9639555
416081725,4169338522,59.6592681,17.9642116
417097964,9705514205,59.6451997,17.9497961
417097964,10018740327,59.645376,17.9495761
417097964,4177193224,59.6461945,17.9485542
417097980,9705514206,59.6462316,17.952156
417097980,10018740331,59.6462473,17.9521365
417097980,4177193229,59.647326,17.9507977
417097992,4177192887,59.6457822,17.9516815
417097992,10018740329,59.6459963,17.9514147
417097992,4177193227,59.6470881,17.950054
417097993,4177192859,59.6454859,17.9507003
417097993,10018740328,59.6456866,17.9504503
417097993,4177193226,59.6467786,17.9490903
523080409,5093168513,59.6490997,17.9257575
523080409,5093168514,59.6481772,17.9261604
523080411,5093168507,59.6492078,17.9278855
523080411,5093168515,59.6485543,17.9281134
523080413,5093168508,59.6491204,17.9271863
523080413,5093168516,59.6482655,17.9274963
523080415,5093168509,59.6491092,17.9264384
523080415,5093168517,59.6481446,17.9268739
523080417,5093168510,59.6490869,17.9248489
523080417,5093168518,59.6482459,17.9254647
523080418,5093168511,59.6490792,17.9241127
523080418,5093168512,59.6488049,17.9240116
523080418,5093168519,59.6482009,17.9237893
523080420,5093168520,59.6490773,17.9236439
523080420,5093168512,59.6488049,17.9240116
523080420,5093168621,59.6482615,17.9248037
523080422,5093168633,59.6465285,17.9270006
523080422,5093168635,59.6471472,17.9274572
523080424,1783497720,59.646734,17.9262571
523080424,5093168636,59.6473994,17.9269922
523080426,5093168626,59.6468582,17.9254109
523080426,5093168637,59.6474695,17.9262359
523080428,5093168625,59.6469789,17.924589
523080428,5093168638,59.6475701,17.9254467
523080429,5093168623,59.6471421,17.9234778
523080429,5093168639,59.6476161,17.9236498
523080429,5093168640,59.6479165,17.9241868
523080431,5093168624,59.6471103,17.9236941
523080431,5093168641,59.6477451,17.9248509
692472188,6501001608,59.6462442,17.9264581
692472188,6501001607,59.6459603,17.9263125
692472188,6501001606,59.645831,17.925858
692472189,6501001612,59.646372,17.9255745
692472189,6501001611,59.646056,17.9254075
692472189,6501001610,59.6459503,17.9250284
692472190,6501001616,59.6465024,17.9246901
692472190,6501001615,59.6461549,17.9245069
692472190,6501001614,59.6460415,17.9241228
692472191,6501001620,59.6466338,17.9238034
692472191,6501001619,59.6462457,17.9235984
692472191,6501001618,59.6461394,17.9232395
693609368,6511974152,59.6388822,17.9333095
693609368,11314051649,59.6383238,17.9327307
693609368,6511974153,59.6379945,17.9323894
693609369,4171860167,59.6391815,17.9321667
693609369,6511974154,59.6383006,17.9312609
693609370,6511974151,59.6394821,17.9310261
693609370,6511974155,59.6386153,17.9301334
693609371,4171860266,59.6401325,17.9302448
693609371,6511974150,59.6397838,17.929887
693609371,6511974156,59.6389255,17.9290041
