callsign,used_runway,runway_time,taxi_time,t_start,t_end
31,1,45.0,211.0,2024-10-22 04:50:32,2024-10-22 04:51:17
32,1,18.0,422.0,2024-10-22 04:49:26,2024-10-22 04:49:44
33,3,16.0,114.0,2024-10-22 04:42:37,2024-10-22 04:42:53
34,1,17.0,317.0,2024-10-22 04:54:36,2024-10-22 04:54:53
35,1,26.0,166.0,2024-10-22 04:57:29,2024-10-22 04:57:55
36,1,34.0,162.0,2024-10-22 05:00:06,2024-10-22 05:00:40
37,1,27.0,262.0,2024-10-22 05:01:58,2024-10-22 05:02:25
38,2,15.0,448.0,2024-10-22 04:57:44,2024-10-22 04:57:59
39,1,21.0,157.0,2024-10-22 05:06:40,2024-10-22 05:07:01
40,1,27.0,154.0,2024-10-22 05:08:26,2024-10-22 05:08:53
41,2,19.0,352.0,2024-10-22 05:02:02,2024-10-22 05:02:21
42,2,19.0,445.0,2024-10-22 05:03:39,2024-10-22 05:03:58
43,1,44.0,413.0,2024-10-22 05:18:33,2024-10-22 05:19:17
45,1,77.0,209.0,2024-10-22 05:12:48,2024-10-22 05:14:05
46,2,19.0,353.0,2024-10-22 05:06:38,2024-10-22 05:06:57
49,2,25.0,460.0,2024-10-22 05:13:54,2024-10-22 05:14:19
50,2,19.0,437.0,2024-10-22 05:16:00,2024-10-22 05:16:19
51,2,26.0,425.0,2024-10-22 05:17:30,2024-10-22 05:17:56
52,1,22.0,198.0,2024-10-22 05:26:05,2024-10-22 05:26:27
53,1,44.0,650.0,2024-10-22 05:35:42,2024-10-22 05:36:26
55,1,40.0,294.0,2024-10-22 05:29:26,2024-10-22 05:30:06
57,1,17.0,313.0,2024-10-22 05:34:11,2024-10-22 05:34:28
58,2,12.0,371.0,2024-10-22 05:24:44,2024-10-22 05:24:56
59,1,23.0,173.0,2024-10-22 05:32:32,2024-10-22 05:32:55
60,2,11.0,368.0,2024-10-22 05:26:10,2024-10-22 05:26:21
61,2,16.0,325.0,2024-10-22 05:27:40,2024-10-22 05:27:56
62,2,17.0,336.0,2024-10-22 05:31:49,2024-10-22 05:32:06
63,2,17.0,390.0,2024-10-22 05:33:12,2024-10-22 05:33:29
66,1,57.0,968.0,2024-10-22 06:28:44,2024-10-22 06:29:41
67,2,36.0,419.0,2024-10-22 05:42:00,2024-10-22 05:42:36
68,1,79.0,324.0,2024-10-22 05:55:16,2024-10-22 05:56:35
69,1,19.0,181.0,2024-10-22 05:52:24,2024-10-22 05:52:43
70,1,31.0,202.0,2024-10-22 05:54:16,2024-10-22 05:54:47
71,2,15.0,274.0,2024-10-22 05:47:38,2024-10-22 05:47:53
72,2,13.0,414.0,2024-10-22 05:50:16,2024-10-22 05:50:29
74,2,11.0,337.0,2024-10-22 05:54:55,2024-10-22 05:55:06
75,1,44.0,194.0,2024-10-22 06:06:33,2024-10-22 06:07:17
76,1,78.0,323.0,2024-10-22 06:10:08,2024-10-22 06:11:26
77,2,16.0,497.0,2024-10-22 06:00:18,2024-10-22 06:00:34
78,1,23.0,148.0,2024-10-22 06:08:35,2024-10-22 06:08:58
80,1,39.0,178.0,2024-10-22 06:12:14,2024-10-22 06:12:53
81,2,19.0,324.0,2024-10-22 06:06:46,2024-10-22 06:07:05
83,1,64.0,261.0,2024-10-22 06:21:53,2024-10-22 06:22:57
84,1,32.0,132.0,2024-10-22 06:16:30,2024-10-22 06:17:02
85,1,61.0,258.0,2024-10-22 06:17:29,2024-10-22 06:18:30
86,1,67.0,288.0,2024-10-22 06:20:22,2024-10-22 06:21:29
87,1,86.0,334.0,2024-10-22 06:32:34,2024-10-22 06:34:00
88,1,84.0,180.0,2024-10-22 06:18:33,2024-10-22 06:19:57
89,2,13.0,315.0,2024-10-22 06:11:34,2024-10-22 06:11:47
90,1,72.0,514.0,2024-10-22 06:24:38,2024-10-22 06:25:50
91,2,9.0,492.0,2024-10-22 06:14:15,2024-10-22 06:14:24
92,1,31.0,193.0,2024-10-22 06:23:44,2024-10-22 06:24:15
94,1,43.0,397.0,2024-10-22 06:27:49,2024-10-22 06:28:32
95,1,85.0,223.0,2024-10-22 06:25:57,2024-10-22 06:27:22
96,1,65.0,326.0,2024-10-22 06:30:01,2024-10-22 06:31:06
97,1,69.0,427.0,2024-10-22 06:31:16,2024-10-22 06:32:25
101,1,52.0,399.0,2024-10-22 06:34:28,2024-10-22 06:35:20
104,1,104.0,288.0,2024-10-22 06:37:01,2024-10-22 06:38:45
105,1,77.0,369.0,2024-10-22 06:39:03,2024-10-22 06:40:20
106,2,31.0,313.0,2024-10-22 06:30:14,2024-10-22 06:30:45
107,1,59.0,284.0,2024-10-22 06:50:47,2024-10-22 06:51:46
109,3,18.0,172.0,2024-10-22 06:34:59,2024-10-22 06:35:17
110,1,17.0,183.0,2024-10-22 06:43:29,2024-10-22 06:43:46
111,1,34.0,194.0,2024-10-22 06:45:20,2024-10-22 06:45:54
112,1,32.0,263.0,2024-10-22 06:48:37,2024-10-22 06:49:09
113,1,26.0,126.0,2024-10-22 06:47:14,2024-10-22 06:47:40
114,2,14.0,336.0,2024-10-22 06:41:01,2024-10-22 06:41:15
115,1,57.0,251.0,2024-10-22 06:49:26,2024-10-22 06:50:23
116,1,94.0,244.0,2024-10-22 06:54:17,2024-10-22 06:55:51
117,3,21.0,119.0,2024-10-22 06:49:25,2024-10-22 06:49:46
118,1,26.0,235.0,2024-10-22 06:57:03,2024-10-22 06:57:29
119,1,28.0,197.0,2024-10-22 06:59:26,2024-10-22 06:59:54
120,3,22.0,298.0,2024-10-22 06:53:48,2024-10-22 06:54:10
121,1,28.0,337.0,2024-10-22 07:02:01,2024-10-22 07:02:29
122,1,54.0,122.0,2024-10-22 07:02:43,2024-10-22 07:03:37
123,1,67.0,213.0,2024-10-22 07:04:34,2024-10-22 07:05:41
124,3,14.0,190.0,2024-10-22 06:56:17,2024-10-22 06:56:31
125,3,12.0,103.0,2024-10-22 06:58:49,2024-10-22 06:59:01
126,3,34.0,284.0,2024-10-22 07:00:53,2024-10-22 07:01:27
127,1,72.0,249.0,2024-10-22 07:09:24,2024-10-22 07:10:36
129,3,48.0,74.0,2024-10-22 07:04:24,2024-10-22 07:05:12
130,3,21.0,146.0,2024-10-22 07:06:30,2024-10-22 07:06:51
131,1,127.0,279.0,2024-10-22 07:12:18,2024-10-22 07:14:25
132,1,82.0,308.0,2024-10-22 07:16:42,2024-10-22 07:18:04
133,3,22.0,177.0,2024-10-22 07:09:04,2024-10-22 07:09:26
134,1,37.0,328.0,2024-10-22 07:20:03,2024-10-22 07:20:40
135,1,40.0,160.0,2024-10-22 07:18:54,2024-10-22 07:19:34
136,3,34.0,240.0,2024-10-22 07:14:08,2024-10-22 07:14:42
138,1,16.0,293.0,2024-10-22 07:25:05,2024-10-22 07:25:21
139,1,108.0,271.0,2024-10-22 07:25:35,2024-10-22 07:27:23
140,1,44.0,477.0,2024-10-22 07:45:41,2024-10-22 07:46:25
141,2,141.0,3364.0,2024-10-22 08:18:12,2024-10-22 08:20:33
142,1,39.0,224.0,2024-10-22 07:31:35,2024-10-22 07:32:14
143,1,53.0,204.0,2024-10-22 07:30:05,2024-10-22 07:30:58
144,1,44.0,331.0,2024-10-22 07:34:21,2024-10-22 07:35:05
145,1,61.0,391.0,2024-10-22 07:35:37,2024-10-22 07:36:38
147,3,42.0,155.0,2024-10-22 07:32:34,2024-10-22 07:33:16
148,3,47.0,79.0,2024-10-22 07:39:50,2024-10-22 07:40:37
149,1,37.0,201.0,2024-10-22 07:52:14,2024-10-22 07:52:51
150,2,186.0,535.0,2024-10-22 07:59:52,2024-10-22 08:02:58
151,1,32.0,183.0,2024-10-22 07:53:46,2024-10-22 07:54:18
152,3,41.0,346.0,2024-10-22 07:45:20,2024-10-22 07:46:01
153,1,43.0,361.0,2024-10-22 07:59:37,2024-10-22 08:00:20
154,3,26.0,160.0,2024-10-22 07:50:05,2024-10-22 07:50:31
155,3,22.0,132.0,2024-10-22 07:51:59,2024-10-22 07:52:21
156,3,22.0,138.0,2024-10-22 07:53:42,2024-10-22 07:54:04
157,3,23.0,94.0,2024-10-22 07:55:20,2024-10-22 07:55:43
158,2,30.0,319.0,2024-10-22 08:05:11,2024-10-22 08:05:41
159,3,30.0,204.0,2024-10-22 07:57:30,2024-10-22 07:58:00
160,3,17.0,219.0,2024-10-22 07:59:36,2024-10-22 07:59:53
161,2,84.0,372.0,2024-10-22 08:11:49,2024-10-22 08:13:13
162,2,21.0,276.0,2024-10-22 08:11:02,2024-10-22 08:11:23
163,2,60.0,356.0,2024-10-22 08:14:08,2024-10-22 08:15:08
164,3,10.0,153.0,2024-10-22 08:06:55,2024-10-22 08:07:05
165,3,12.0,215.0,2024-10-22 08:10:58,2024-10-22 08:11:10
166,3,46.0,101.0,2024-10-22 08:13:07,2024-10-22 08:13:53
167,2,73.0,311.0,2024-10-22 08:24:52,2024-10-22 08:26:05
168,2,19.0,411.0,2024-10-22 08:32:14,2024-10-22 08:32:33
169,3,14.0,89.0,2024-10-22 08:19:56,2024-10-22 08:20:10
170,3,40.0,221.0,2024-10-22 08:21:44,2024-10-22 08:22:24
171,2,19.0,309.0,2024-10-22 08:40:51,2024-10-22 08:41:10
172,3,23.0,122.0,2024-10-22 08:31:55,2024-10-22 08:32:18
173,3,22.0,172.0,2024-10-22 08:34:05,2024-10-22 08:34:27
174,3,15.0,128.0,2024-10-22 08:38:05,2024-10-22 08:38:20
175,2,36.0,258.0,2024-10-22 08:47:18,2024-10-22 08:47:54
176,3,19.0,171.0,2024-10-22 08:39:52,2024-10-22 08:40:11
177,3,9.0,90.0,2024-10-22 08:42:50,2024-10-22 08:42:59
178,2,23.0,205.0,2024-10-22 08:52:24,2024-10-22 08:52:47
179,3,20.0,91.0,2024-10-22 08:44:50,2024-10-22 08:45:10
180,3,16.0,127.0,2024-10-22 08:47:00,2024-10-22 08:47:16
181,3,37.0,122.0,2024-10-22 08:49:14,2024-10-22 08:49:51
182,3,34.0,67.0,2024-10-22 08:51:45,2024-10-22 08:52:19
183,2,16.0,421.0,2024-10-22 09:03:35,2024-10-22 09:03:51
184,3,44.0,71.0,2024-10-22 08:53:39,2024-10-22 08:54:23
185,2,19.0,321.0,2024-10-22 09:06:09,2024-10-22 09:06:28
186,1,14.0,166.0,2024-10-22 08:58:42,2024-10-22 08:58:56
187,1,8.0,747.0,2024-10-22 09:00:50,2024-10-22 09:00:58
188,2,15.0,265.0,2024-10-22 09:11:13,2024-10-22 09:11:28
191,1,20.0,220.0,2024-10-22 09:03:23,2024-10-22 09:03:43
192,1,19.0,99.0,2024-10-22 09:05:18,2024-10-22 09:05:37
193,1,91.0,301.0,2024-10-22 09:23:20,2024-10-22 09:24:51
194,2,36.0,338.0,2024-10-22 09:19:28,2024-10-22 09:20:04
195,1,8.0,111.0,2024-10-22 09:09:50,2024-10-22 09:09:58
197,2,66.0,355.0,2024-10-22 09:22:11,2024-10-22 09:23:17
198,2,71.0,321.0,2024-10-22 09:20:34,2024-10-22 09:21:45
199,1,17.0,99.0,2024-10-22 09:14:10,2024-10-22 09:14:27
200,2,97.0,352.0,2024-10-22 09:24:23,2024-10-22 09:26:00
201,2,75.0,498.0,2024-10-22 09:28:24,2024-10-22 09:29:39
202,2,97.0,360.0,2024-10-22 09:26:26,2024-10-22 09:28:03
203,3,1468.0,168.0,2024-10-22 09:17:24,2024-10-22 09:41:52
204,1,11.0,236.0,2024-10-22 09:18:13,2024-10-22 09:18:24
205,2,51.0,392.0,2024-10-22 09:30:38,2024-10-22 09:31:29
206,1,30.0,98.0,2024-10-22 09:27:53,2024-10-22 09:28:23
207,2,94.0,377.0,2024-10-22 09:38:20,2024-10-22 09:39:54
208,2,41.0,374.0,2024-10-22 09:40:27,2024-10-22 09:41:08
210,1,12.0,112.0,2024-10-22 09:32:09,2024-10-22 09:32:21
211,2,16.0,256.0,2024-10-22 09:42:47,2024-10-22 09:43:03
212,2,37.0,355.0,2024-10-22 09:48:47,2024-10-22 09:49:24
213,2,17.0,319.0,2024-10-22 09:45:36,2024-10-22 09:45:53
214,2,35.0,333.0,2024-10-22 09:51:50,2024-10-22 09:52:25
215,1,17.0,161.0,2024-10-22 09:41:38,2024-10-22 09:41:55
216,1,18.0,181.0,2024-10-22 09:44:20,2024-10-22 09:44:38
217,2,102.0,324.0,2024-10-22 09:58:36,2024-10-22 10:00:18
218,1,24.0,120.0,2024-10-22 09:47:21,2024-10-22 09:47:45
219,2,22.0,353.0,2024-10-22 09:57:46,2024-10-22 09:58:08
220,1,9.0,83.0,2024-10-22 09:49:18,2024-10-22 09:49:27
221,2,18.0,263.0,2024-10-22 10:06:35,2024-10-22 10:06:53
222,1,32.0,96.0,2024-10-22 09:56:30,2024-10-22 09:57:02
223,2,83.0,367.0,2024-10-22 10:07:13,2024-10-22 10:08:36
224,1,29.0,69.0,2024-10-22 09:59:22,2024-10-22 09:59:51
226,1,20.0,133.0,2024-10-22 10:01:44,2024-10-22 10:02:04
227,1,8.0,120.0,2024-10-22 10:03:15,2024-10-22 10:03:23
228,2,13.0,222.0,2024-10-22 10:14:14,2024-10-22 10:14:27
229,2,50.0,243.0,2024-10-22 10:15:47,2024-10-22 10:16:37
230,1,28.0,182.0,2024-10-22 10:08:24,2024-10-22 10:08:52
231,3,2940.0,507.0,2024-10-22 10:19:23,2024-10-22 11:08:23
232,2,59.0,181.0,2024-10-22 10:18:04,2024-10-22 10:19:03
233,1,1.0,174.0,2024-10-22 10:13:22,2024-10-22 10:13:23
234,2,25.0,277.0,2024-10-22 10:24:48,2024-10-22 10:25:13
235,1,29.0,105.0,2024-10-22 10:20:37,2024-10-22 10:21:06
236,2,29.0,311.0,2024-10-22 10:33:29,2024-10-22 10:33:58
237,2,11.0,322.0,2024-10-22 10:36:11,2024-10-22 10:36:22
238,2,19.0,252.0,2024-10-22 10:40:55,2024-10-22 10:41:14
239,3,50.0,75.0,2024-10-22 10:32:55,2024-10-22 10:33:45
240,3,21.0,210.0,2024-10-22 10:37:26,2024-10-22 10:37:47
