callsign,used_runway,runway_time,taxi_time,t_start,t_end
325,2,129.0,1507.0,2024-10-22 13:52:05,2024-10-22 13:54:14
326,3,23.0,116.0,2024-10-22 13:26:23,2024-10-22 13:26:46
327,2,18.0,333.0,2024-10-22 13:45:26,2024-10-22 13:45:44
328,2,29.0,317.0,2024-10-22 13:42:36,2024-10-22 13:43:05
329,3,40.0,88.0,2024-10-22 13:32:02,2024-10-22 13:32:42
330,2,24.0,172.0,2024-10-22 13:39:48,2024-10-22 13:40:12
331,2,34.0,563.0,2024-10-22 13:54:52,2024-10-22 13:55:26
332,3,33.0,194.0,2024-10-22 13:33:59,2024-10-22 13:34:32
334,2,17.0,297.0,2024-10-22 13:47:41,2024-10-22 13:47:58
335,3,24.0,119.0,2024-10-22 13:40:20,2024-10-22 13:40:44
336,2,99.0,275.0,2024-10-22 13:56:21,2024-10-22 13:58:00
337,2,29.0,243.0,2024-10-22 13:59:32,2024-10-22 14:00:01
338,2,37.0,752.0,2024-10-22 14:14:13,2024-10-22 14:14:50
339,1,83.0,395.0,2024-10-22 14:17:12,2024-10-22 14:18:35
340,3,41.0,151.0,2024-10-22 13:56:38,2024-10-22 13:57:19
341,2,26.0,309.0,2024-10-22 14:08:08,2024-10-22 14:08:34
342,3,29.0,141.0,2024-10-22 14:00:46,2024-10-22 14:01:15
343,1,75.0,328.0,2024-10-22 14:15:27,2024-10-22 14:16:42
344,3,42.0,259.0,2024-10-22 14:07:19,2024-10-22 14:08:01
345,2,16.0,460.0,2024-10-22 14:11:14,2024-10-22 14:11:30
346,1,74.0,474.0,2024-10-22 14:25:24,2024-10-22 14:26:38
347,2,23.0,360.0,2024-10-22 14:13:35,2024-10-22 14:13:58
348,1,28.0,176.0,2024-10-22 14:24:38,2024-10-22 14:25:06
349,1,27.0,236.0,2024-10-22 14:27:25,2024-10-22 14:27:52
350,1,36.0,278.0,2024-10-22 14:28:57,2024-10-22 14:29:33
351,2,16.0,259.0,2024-10-22 14:19:35,2024-10-22 14:19:51
352,2,8.0,356.0,2024-10-22 14:21:27,2024-10-22 14:21:35
353,2,11.0,409.0,2024-10-22 14:23:14,2024-10-22 14:23:25
354,2,20.0,319.0,2024-10-22 14:26:33,2024-10-22 14:26:53
355,1,49.0,236.0,2024-10-22 14:36:46,2024-10-22 14:37:35
357,2,8.0,393.0,2024-10-22 14:28:30,2024-10-22 14:28:38
358,2,14.0,339.0,2024-10-22 14:30:33,2024-10-22 14:30:47
359,1,27.0,127.0,2024-10-22 14:42:22,2024-10-22 14:42:49
360,2,18.0,423.0,2024-10-22 14:33:15,2024-10-22 14:33:33
361,1,23.0,253.0,2024-10-22 14:47:01,2024-10-22 14:47:24
362,1,37.0,221.0,2024-10-22 14:45:29,2024-10-22 14:46:06
363,2,19.0,462.0,2024-10-22 14:37:11,2024-10-22 14:37:30
364,2,17.0,346.0,2024-10-22 14:41:48,2024-10-22 14:42:05
365,2,21.0,292.0,2024-10-22 14:43:36,2024-10-22 14:43:57
366,2,12.0,342.0,2024-10-22 14:47:37,2024-10-22 14:47:49
367,1,24.0,261.0,2024-10-22 14:55:29,2024-10-22 14:55:53
368,2,18.0,345.0,2024-10-22 14:49:14,2024-10-22 14:49:32
369,2,24.0,313.0,2024-10-22 14:52:22,2024-10-22 14:52:46
370,2,18.0,383.0,2024-10-22 14:56:53,2024-10-22 14:57:11
371,2,30.0,381.0,2024-10-22 14:58:54,2024-10-22 14:59:24
373,1,24.0,219.0,2024-10-22 15:09:31,2024-10-22 15:09:55
374,2,7.0,423.0,2024-10-22 15:03:43,2024-10-22 15:03:50
375,2,13.0,418.0,2024-10-22 15:05:42,2024-10-22 15:05:55
376,2,23.0,410.0,2024-10-22 15:07:18,2024-10-22 15:07:41
377,1,29.0,198.0,2024-10-22 15:17:50,2024-10-22 15:18:19
378,2,13.0,349.0,2024-10-22 15:08:46,2024-10-22 15:08:59
379,1,21.0,122.0,2024-10-22 15:55:26,2024-10-22 15:55:47
380,1,24.0,297.0,2024-10-22 15:21:59,2024-10-22 15:22:23
381,2,10.0,547.0,2024-10-22 15:10:14,2024-10-22 15:10:24
382,2,22.0,539.0,2024-10-22 15:12:14,2024-10-22 15:12:36
383,2,16.0,416.0,2024-10-22 15:13:52,2024-10-22 15:14:08
384,1,65.0,220.0,2024-10-22 15:22:43,2024-10-22 15:23:48
385,1,71.0,208.0,2024-10-22 15:24:13,2024-10-22 15:25:24
386,2,14.0,328.0,2024-10-22 15:15:34,2024-10-22 15:15:48
387,2,16.0,331.0,2024-10-22 15:17:04,2024-10-22 15:17:20
388,1,44.0,189.0,2024-10-22 15:38:28,2024-10-22 15:39:12
389,2,8.0,373.0,2024-10-22 15:22:02,2024-10-22 15:22:10
390,1,95.0,295.0,2024-10-22 15:38:59,2024-10-22 15:40:34
391,2,17.0,411.0,2024-10-22 15:23:45,2024-10-22 15:24:02
392,1,32.0,263.0,2024-10-22 15:35:34,2024-10-22 15:36:06
393,1,26.0,266.0,2024-10-22 15:32:34,2024-10-22 15:33:00
394,2,25.0,673.0,2024-10-22 15:26:23,2024-10-22 15:26:48
395,1,83.0,386.0,2024-10-22 15:36:12,2024-10-22 15:37:35
396,1,20.0,163.0,2024-10-22 16:21:11,2024-10-22 16:21:31
397,1,24.0,218.0,2024-10-22 15:34:09,2024-10-22 15:34:33
398,2,16.0,352.0,2024-10-22 15:29:54,2024-10-22 15:30:10
399,1,43.0,272.0,2024-10-22 15:41:04,2024-10-22 15:41:47
400,1,55.0,322.0,2024-10-22 15:42:15,2024-10-22 15:43:10
401,1,62.0,312.0,2024-10-22 15:49:26,2024-10-22 15:50:28
402,1,36.0,305.0,2024-10-22 15:48:23,2024-10-22 15:48:59
403,2,17.0,373.0,2024-10-22 15:38:03,2024-10-22 15:38:20
404,1,23.0,124.0,2024-10-22 15:46:00,2024-10-22 15:46:23
405,1,37.0,194.0,2024-10-22 15:51:59,2024-10-22 15:52:36
406,2,8.0,572.0,2024-10-22 15:45:58,2024-10-22 15:46:06
407,2,18.0,483.0,2024-10-22 15:48:11,2024-10-22 15:48:29
408,1,66.0,213.0,2024-10-22 15:59:39,2024-10-22 16:00:45
409,1,102.0,172.0,2024-10-22 15:57:34,2024-10-22 15:59:16
410,1,79.0,274.0,2024-10-22 16:00:55,2024-10-22 16:02:14
411,2,20.0,489.0,2024-10-22 15:51:55,2024-10-22 15:52:15
412,1,56.0,287.0,2024-10-22 16:02:43,2024-10-22 16:03:39
413,1,69.0,268.0,2024-10-22 16:04:01,2024-10-22 16:05:10
414,2,18.0,275.0,2024-10-22 15:56:25,2024-10-22 15:56:43
415,1,63.0,166.0,2024-10-22 16:07:25,2024-10-22 16:08:28
416,1,29.0,173.0,2024-10-22 16:06:39,2024-10-22 16:07:08
417,2,15.0,493.0,2024-10-22 15:59:37,2024-10-22 15:59:52
418,2,17.0,442.0,2024-10-22 16:01:19,2024-10-22 16:01:36
419,1,65.0,177.0,2024-10-22 16:08:43,2024-10-22 16:09:48
