callsign,used_runway,runway_time,t_start,t_end,active_operations
140,2,17.0,2024-10-25 07:51:35,2024-10-25 07:51:52,1
141,3,29.0,2024-10-25 07:50:38,2024-10-25 07:51:07,1
142,2,6.0,2024-10-25 08:01:16,2024-10-25 08:01:22,1
143,3,15.0,2024-10-25 07:53:22,2024-10-25 07:53:37,1
144,3,5.0,2024-10-25 07:57:41,2024-10-25 07:57:46,1
145,3,38.0,2024-10-25 07:59:54,2024-10-25 08:00:32,1
146,3,27.0,2024-10-25 08:04:35,2024-10-25 08:05:02,1
147,2,82.0,2024-10-25 08:15:01,2024-10-25 08:16:23,2
148,3,24.0,2024-10-25 08:06:46,2024-10-25 08:07:10,1
149,2,42.0,2024-10-25 08:17:22,2024-10-25 08:18:04,2
150,2,28.0,2024-10-25 08:23:38,2024-10-25 08:24:06,1
151,3,32.0,2024-10-25 08:15:24,2024-10-25 08:15:56,2
152,3,29.0,2024-10-25 08:17:20,2024-10-25 08:17:49,2
153,1,48.0,2024-10-25 08:27:06,2024-10-25 08:27:54,1
154,1,41.0,2024-10-25 08:41:14,2024-10-25 08:41:55,2
155,2,78.0,2024-10-25 08:29:16,2024-10-25 08:30:34,1
156,3,28.0,2024-10-25 08:20:18,2024-10-25 08:20:46,1
157,3,20.0,2024-10-25 08:22:10,2024-10-25 08:22:30,1
158,3,40.0,2024-10-25 08:36:25,2024-10-25 08:37:05,1
159,2,42.0,2024-10-25 08:46:43,2024-10-25 08:47:25,1
161,3,20.0,2024-10-25 08:38:36,2024-10-25 08:38:56,1
162,3,41.0,2024-10-25 08:41:04,2024-10-25 08:41:45,2
163,3,23.0,2024-10-25 08:47:39,2024-10-25 08:48:02,1
164,2,114.0,2024-10-25 08:59:11,2024-10-25 09:01:05,2
165,2,48.0,2024-10-25 08:57:53,2024-10-25 08:58:41,2
166,3,30.0,2024-10-25 08:51:30,2024-10-25 08:52:00,1
167,3,23.0,2024-10-25 08:53:11,2024-10-25 08:53:34,1
168,3,13.0,2024-10-25 08:55:30,2024-10-25 08:55:43,1
169,3,16.0,2024-10-25 08:56:47,2024-10-25 08:57:03,1
170,3,29.0,2024-10-25 08:58:30,2024-10-25 08:58:59,2
171,1,38.0,2024-10-25 09:10:52,2024-10-25 09:11:30,2
172,3,12.0,2024-10-25 09:01:05,2024-10-25 09:01:17,2
173,3,30.0,2024-10-25 09:03:05,2024-10-25 09:03:35,1
174,2,92.0,2024-10-25 09:14:23,2024-10-25 09:15:55,2
175,2,23.0,2024-10-25 09:17:34,2024-10-25 09:17:57,2
176,3,33.0,2024-10-25 09:06:47,2024-10-25 09:07:20,1
177,3,16.0,2024-10-25 09:09:22,2024-10-25 09:09:38,1
178,3,27.0,2024-10-25 09:11:04,2024-10-25 09:11:31,2
179,3,35.0,2024-10-25 09:12:47,2024-10-25 09:13:22,1
180,3,27.0,2024-10-25 09:14:21,2024-10-25 09:14:48,2
181,2,42.0,2024-10-25 09:26:11,2024-10-25 09:26:53,1
182,3,36.0,2024-10-25 09:17:48,2024-10-25 09:18:24,2
