way_id,node_id,type,latitude,longitude
4966859,32893573,runway,59.6664,17.9237694
4966859,32893768,runway,59.6656642,17.9235031
4966859,5093168484,runway,59.6585094,17.9209137
4966859,4169338504,runway,59.6568758,17.9203226
4966859,32893575,runway,59.6564208,17.920158
4966859,4169338078,runway,59.6553186,17.9197591
4966859,4165354206,runway,59.6532374,17.9190061
4966859,528022886,runway,59.6503719,17.9179693
4966859,4172712655,runway,59.6502444,17.9179232
4966859,951386022,runway,59.6488061,17.9174029
4966859,4165354171,runway,59.6481747,17.9171745
4966859,4165354151,runway,59.6468613,17.9166993
4966859,4165279025,runway,59.6446799,17.9159096
4966859,32893618,runway,59.6379048,17.9134598
4966859,32893581,runway,59.6372556,17.913225
4966903,32894049,runway,59.6484694,17.9587472
4966903,4163587440,runway,59.6474646,17.9583828
4966903,4165354100,runway,59.6429866,17.9567588
4966903,4165354079,runway,59.6392835,17.955416
4966903,4165354037,runway,59.6355132,17.954049
4966903,4165354022,runway,59.6315151,17.9525995
4966903,4165353991,runway,59.6267702,17.9508796
4966903,4163587405,runway,59.6263972,17.9507444
4967385,32897568,runway,59.6584194,17.9361333
4967385,32897569,runway,59.6586299,17.9377857
4967385,4165354323,runway,59.6587,17.9383359
4967385,4165354333,runway,59.6601667,17.9498546
4967385,266153202,runway,59.6613357,17.9590351
4967385,4165354351,runway,59.6637544,17.9780311
4967385,32897571,runway,59.6638972,17.9791528
4966908,4165353991,taxiway,59.6267702,17.9508796
4966908,4165352086,taxiway,59.6267072,17.9507796
4966908,4165352084,taxiway,59.6266543,17.9505999
4966908,4165352081,taxiway,59.6266095,17.9503974
4966908,4165352080,taxiway,59.6265878,17.9502606
4966908,4165352079,taxiway,59.6265804,17.9501024
4966908,2052850791,taxiway,59.6265824,17.9499669
4966908,32894124,taxiway,59.6265912,17.949865
4966908,4167654914,taxiway,59.626617,17.949589
4966908,32894125,taxiway,59.6267119,17.9485749
4966908,10018740333,taxiway,59.626745,17.9481892
4966908,4165352088,taxiway,59.6267485,17.9481484
4966908,4165353989,taxiway,59.6267499,17.9480746
4966908,4165353990,taxiway,59.6267662,17.9479486
4966908,4165353992,taxiway,59.6267892,17.9478037
4966908,32894126,taxiway,59.6268265,17.9476656
4966908,4165353994,taxiway,59.6268726,17.9475543
4966908,32894127,taxiway,59.6269228,17.9474644
4966908,32894128,taxiway,59.6269865,17.9473813
4966908,4165353995,taxiway,59.6272924,17.9471131
4966908,4165353996,taxiway,59.6273371,17.9470842
4966908,2974400241,taxiway,59.6273839,17.9470668
4966908,4165353997,taxiway,59.6274129,17.9470578
4966908,4165353998,taxiway,59.6274185,17.9470561
4966908,32894129,taxiway,59.6274551,17.9470554
4966908,2974399934,taxiway,59.6275494,17.9470701
